#,access,id,num_images,title,url,download_method,license,region,year,contact_or_notes
1,OPEN,arxiv-2511.04948-code,50000,COde benchmark multimodal oro-dental dataset for large vision-language models,https://arxiv.org/abs/2511.04948,manual visit,CC BY-NC-ND 4.0,China,2025,8775 checkups 4800 patients 2018-2025; also 8056 radiographs excluded from usable subset; usable_subset 50000 intraoral RGB images
2,OPEN,kaggle-salmansajid05-oral-diseases,12653,Kaggle Oral Diseases dataset (6-class incl. gingivitis/calculus/tartar),https://www.kaggle.com/datasets/salmansajid05/oral-diseases,Kaggle (browser or CLI),kaggle_terms,unknown,2024,Needs modality triage — mixed with X-ray possible. Use photo subset only.
3,OPEN,mendeley-6zsnhrds9t-noncarious-teeth,9562,"Teeth or Dental image dataset (noncarious teeth, children 1-14y)",https://data.mendeley.com/datasets/6zsnhrds9t/1,Mendeley (browser direct),CC BY 4.0,India,2023,"Pediatric intraoral, explicitly non-carious. Re-label candidate for MIH/hypoplasia/fluorosis."
4,OPEN,mendeley-6zsnhrds9t,9562,"Teeth or Dental image dataset (pediatric, 1-14 y/o)",https://data.mendeley.com/datasets/6zsnhrds9t,Mendeley (browser direct),CC BY 4.0,unknown,2024,"Explicit per-view folders: maxillary/mandibular x front/right/left/occlusal, across 8 subcategories."
5,OPEN,dryad-tcm-tongue-1c59zw48r,6719,TCM-Tongue: Standardized Tongue Image Dataset with Pathological Annotations,https://datadryad.org/dataset/doi:10.5061/dryad.1c59zw48r,Dryad (browser direct),CC BY 4.0 (per arXiv; verify Dryad CC0 default),China,2026,Tongue-only; overlap with geographic/fissured tongue classes via cracked/tooth-marked labels.
6,OPEN,roboflow-dental-anomaly-6557,6557,Dental Anomaly Detection Dataset (abrasion/attrition/caries 10-class),https://universe.roboflow.com/search?q=class:abrasion+-+filling,Roboflow (browser or API),unknown_roboflow_public,unknown,2024,Roboflow dental anomaly project 6557 images includes non-carious classes; slug needs manual verification (WebFetch 403).
7,OPEN,zenodo-14827784,6313,Annotated intraoral image dataset for dental caries detection,https://zenodo.org/records/14827784,Zenodo (browser direct),CC BY-NC-ND 4.0,"Pakistan (Mithi, Sindh)",2025,"5 standard views, W/R and W/O-R subfolders. Primary flagship caries intraoral dataset. Mixed + permanent dentitions. Pilot 505 (no retractor) + main 5808 images. Benchmarked YOLOv5s/v8s/v11, SSD-Mobil"
8,OPEN,roboflow-abdul-aziz-caries-tartar-missing-6160,6160,Instance segmentation of Caries/Tartar/Missing (Abdul Aziz) — Roboflow,https://universe.roboflow.com/search?q=class%3Atartar,Roboflow (browser or API),CC BY 4.0,,2024,Slug not fully resolved (503). Tartar subset relevant for perio.
9,OPEN,roboflow-bitcamp-dental-j1vge,5989,dental (bitcamp/dental-j1vge) object detection,https://universe.roboflow.com/bitcamp/dental-j1vge,Roboflow (browser or API),CC BY 4.0,unknown,2024,modality_mixed:true pending direct verification
10,OPEN,roboflow-intra-oral-scanner-vgggs-r4xwu,5758,Intra-Oral Scanner classification (intraoral-scanner-vgggs/intra-oral-scanner-r4xwu),https://universe.roboflow.com/intraoral-scanner-vgggs/intra-oral-scanner-r4xwu,Roboflow (browser or API),CC BY 4.0,unknown,2025,Modality inferred from project name; class list unverified (WebFetch 403). Low val acc suggests noisy labels.
11,OPEN,segmentanytooth-ump-5000,5000,SegmentAnyTooth Vietnamese intraoral photograph dataset 5 views,https://www.sciencedirect.com/science/article/pii/S1991790225000030,manual visit,open-source framework code plus weights,Vietnam,2025,Dental Public Health Faculty Odonto-Stomatology HCMC University of Medicine and Pharmacy; 953 subjects 32.8%M 67.2%F; 2017-2022; smartphone plus DSLR flash/no-flash; YOLO11 plus HQ-SAM active learning
