category,open_datasets,open_images_sum,request_datasets,request_images_sum,open_dataset_ids,request_dataset_ids
caries,29,69180,13,13794,zenodo-14827784;mendeley-9jnf2jvghy;arxiv-2507.22512-alphadent;oral-mamba-liu-2024;kaggle-salmansajid05-oral-diseases;alphadent-zftu-v1.1;mendeley-6zsnhrds9t-noncarious-teeth;zenodo-14622450-athletes-caries-erosion;roboflow-havij-caries-tsrca;roboflow-orthodontic-noybl;dib-bangladesh-6class;mendeley-phtw6rmwzd-enamel-caries;roboflow-project-group13-dl-caries;roboflow-jesse-perring-caries-detection;roboflow-bscs-8th-tooth-cavity-detection;roboflow-yolov8-training-tooth-caries-3;roboflow-jb-okcsk-kaggle-dental-caries;kaggle-maazmakhdoom-dental-cavity;gdrive-nanjing-oral-endoscopy-3365-mirror;github-priyanshu9898-oral-disease-6class;roboflow-oral-disease-detection-teeth-disease-m1uob-621;roboflow-dental-anomaly-6557;roboflow-bitcamp-dental-j1vge;aap-oral-health-image-gallery-pediatric;zenodo-10580117-teledentistry-peru;datasetninja-dentalai-2495;iter3-perio-rvg-v1301-blacklist-confirm;roboflow-abdul-aziz-caries-tartar-missing-6160;roboflow-dental-qlzfr-dental-problems,sfedu-yufu-caries-smartphone-2026;mdpi-diagnostics-ksu-435;github-dlcariesscreen-ucla;jmir-e91239-colorado-fluorosis-2026;github-tooth-segmentation44-yolov8;aihub-korea-71509-dental-intraoral-clinical;bmc-mixed-dentition-intraoral-2025-06866;aihub-kr-restorative-probe-2026;nyu-caredaway-sdf-school-ny-10620;sunyatsen-zengcheng-pediatric-7671-2026;sechenov-ai-214-pediatric-dental-morbidity-moscow;bmc-hibogi-cimahi-indonesia-3221-2025;mdpi-jcm-14-8959-enamel-caries-dl-2025
tooth_detection_numbering,17,53659,13,14674,mendeley-6zsnhrds9t-noncarious-teeth;github-omni-2025;teethseg-io150k-rgb08k;roboflow-orthodontic-noybl;dib-bangladesh-6class;segmentanytooth-ump-5000;roboflow-yolov8-training-tooth-caries-3;github-priyanshu9898-oral-disease-6class;roboflow-dental-anomaly-6557;roboflow-bitcamp-dental-j1vge;zenodo-10580117-teledentistry-peru;datasetninja-dentalai-2495;roboflow-dental-plaque-sorbonne-teeth-detection-xdkru-3405;dryad-tcm-tongue-1c59zw48r;scidb-tongue-inquiry-8417299d;roboflow-abdul-aziz-caries-tartar-missing-6160;roboflow-dental-qlzfr-dental-problems,fdtooth-scidata-2025;segmentanytooth-hcmc;teethdreamer-5photo-protocol;alphadent-kaggle-competition;bmc-shahid-beheshti-3215;human-tooth-crack-nir-2024;heliyon-tooth-crack-deeplabv3plus-2024;osaka-prosthodontics-contact-draft-2026;fdtooth-physionet-hku-2025;aihub-korea-71509-dental-intraoral-clinical;ssrn-6281532-airc-labden-plaque-ortho;aihub-kr-restorative-probe-2026;sechenov-ai-205-adult-dental-photos-polygon
tongue_soft_other,3,7913,4,60078,figshare-code-oral-mucosa-30550889;dryad-tcm-tongue-1c59zw48r;scidb-tongue-inquiry-8417299d,memosa-dataset-2026;memosa-multi-country-oral;aihub-korea-71509-dental-intraoral-clinical;oralgpt-mmoral-dfull-dpartial-arxiv-2510-13911
view_anatomy_normal,11,14237,17,45272,github-pknu-calculus;figshare-smartom-31341790;nature-s41597-024-04099-x-multispectral;github-omni-2025;nature-sd-osmf-oscc-2024;roboflow-oral-disease-detection-teeth-disease-m1uob-621;roboflow-dental-anomaly-6557;figshare-code-oral-mucosa-30550889;dryad-modid-multispectral-nvx0k6dxw;aap-oral-health-image-gallery-pediatric;dfid-mltrmr-guizhou-131,github-yunwu2024-dental-fluorosis;zenodo-10664056;zenodo-14571990;teethdreamer-5photo-protocol;bdj-cairo-9201;aikosh-india-oral-cancer;bmc-s12903-024-04460-x-chronic-gingivitis-683;chau-hku-gingivitis-567-2023;tongue-lesions-bmc-623patients;jocpd-2026-011-pediatric-5view;moharrami-ragadio-2024-gingivitis-666-kaggle-lead;integrated-fluorosis-grading-bspc-2024;bmc-mixed-dentition-intraoral-2025-06866;peerj-20140-bengbu-occlusion-7200;nanchang-university-kouqiang-3869-perio-screening-2025-lead;claseg-2072-scirep-2025-s41598-025-03268-1;bspc-s1746809425008481-3246-40class-2025
calculus_plaque,16,35506,3,1062,arxiv-2507.22512-alphadent;oral-mamba-liu-2024;alphadent-2025;kaggle-salmansajid05-oral-diseases;github-pknu-calculus;alphadent-zftu-v1.1;dib-bangladesh-6class;gdrive-nanjing-oral-endoscopy-3365-mirror;roboflow-tooth-ytblb-dental-plaque-v6;github-priyanshu9898-oral-disease-6class;roboflow-oral-disease-detection-teeth-disease-m1uob-621;roboflow-dental-plaque-sorbonne-teeth-detection-xdkru-3405;kaggle-santhoshsivang-calculus-dataset;iter3-perio-rvg-v1301-blacklist-confirm;roboflow-aakash-npfax-dental-remote-areas-calculus-927;roboflow-abdul-aziz-caries-tartar-missing-6160,mdpi-diagnostics-plaque-oleary;terven-ipn-plaque-531-oleary-2025;ssrn-6281532-airc-labden-plaque-ortho
periodontal_gingivitis,13,28170,5,7018,arxiv-2507.22512-alphadent;mendeley-3253gj88rr;oral-mamba-liu-2024;alphadent-2025;roboflow-gingivitis-fdams;roboflow-gingivitis-t98xc;kaggle-salmansajid05-oral-diseases;dib-bangladesh-6class;gdrive-nanjing-oral-endoscopy-3365-mirror;github-priyanshu9898-oral-disease-6class;aap-oral-health-image-gallery-pediatric;figshare-siop-29761292;roboflow-dental-plaque-sorbonne-teeth-detection-xdkru-3405,fdtooth-scidata-2025;bmc-s12903-024-04460-x-chronic-gingivitis-683;moharrami-ragadio-2024-gingivitis-666-kaggle-lead;sechenov-ai-214-pediatric-dental-morbidity-moscow;nanchang-university-kouqiang-3869-perio-screening-2025-lead
crown_bridge_veneer,5,7671,6,22882,alphadent-zftu-v1.1;roboflow-havij-caries-tsrca;roboflow-dental-mate-crown-detection;roboflow-restoration-filling-aggregate;roboflow-bitcamp-dental-j1vge,osaka-prosthesis-1904-takahashi-2021;oii-ds-benchmark-wang-2023;osaka-prosthodontics-contact-draft-2026;github-tooth-segmentation44-yolov8;aihub-korea-71509-dental-intraoral-clinical;aihub-kr-restorative-probe-2026
oral_cancer_scc,10,3625,8,26720,github-autooral-2024;figshare-smartom-31341790;mendeley-mhjyrn35p4;roboflow-oral-lesion2;nature-s41597-024-04099-x-multispectral;nature-sd-osmf-oscc-2024;figshare-code-oral-mucosa-30550889;dryad-modid-multispectral-nvx0k6dxw;kaggle-zaidpy-oral-cancer-dataset;kaggle-muhammadatef-oral-cancer-images-classification,zenodo-10664056;zenodo-14571990;bdj-cairo-9201;aikosh-india-oral-cancer;opmdcare-atlas-photos-2026;claseg-2072-scirep-2025-s41598-025-03268-1;bspc-s1746809425008481-3246-40class-2025;arxiv-2511-21582-multimodal-oral-lesions-16class
implant,4,6207,3,20978,roboflow-havij-caries-tsrca;roboflow-restoration-filling-aggregate;roboflow-orthodontic-noybl;roboflow-bitcamp-dental-j1vge,oii-ds-benchmark-wang-2023;osaka-prosthodontics-contact-draft-2026;github-tooth-segmentation44-yolov8
orthodontic_malocclusion,5,7886,7,18561,arxiv-2507.22512-alphadent;alphadent-2025;github-omni-2025;teethseg-io150k-rgb08k;mendeley-4mxj6rpv48-facial-profile,mdpi-dentistry-malocclusion-5854;fdtooth-physionet-hku-2025;aihub-korea-71509-dental-intraoral-clinical;ssrn-6281532-airc-labden-plaque-ortho;peerj-20140-bengbu-occlusion-7200;charite-berlin-5266-angle-lateral-2025;sechenov-ai-214-pediatric-dental-morbidity-moscow
