id,num_images,url,source_platform,modality,license,region_origin,year,notes
arxiv-2511.04948-code,50000,https://arxiv.org/abs/2511.04948,arXiv author-hosted,intraoral_photo,CC BY-NC-ND 4.0,China,2025,8775 checkups 4800 patients 2018-2025; also 8056 radiographs excluded from usable subset; usable_subset 50000 intraoral RGB images
kaggle-salmansajid05-oral-diseases,12653,https://www.kaggle.com/datasets/salmansajid05/oral-diseases,Kaggle,intraoral_photo,kaggle_terms,unknown,2024,Needs modality triage — mixed with X-ray possible. Use photo subset only.
mendeley-6zsnhrds9t-noncarious-teeth,9562,https://data.mendeley.com/datasets/6zsnhrds9t/1,Mendeley Data,intraoral_photo,CC BY 4.0,India,2023,"Pediatric intraoral, explicitly non-carious. Re-label candidate for MIH/hypoplasia/fluorosis."
mendeley-6zsnhrds9t,9562,https://data.mendeley.com/datasets/6zsnhrds9t,Mendeley Data,intraoral_photo,CC BY 4.0,unknown,2024,"Explicit per-view folders: maxillary/mandibular x front/right/left/occlusal, across 8 subcategories."
dryad-tcm-tongue-1c59zw48r,6719,https://datadryad.org/dataset/doi:10.5061/dryad.1c59zw48r,Dryad,intraoral_photo,CC BY 4.0 (per arXiv; verify Dryad CC0 default),China,2026,Tongue-only; overlap with geographic/fissured tongue classes via cracked/tooth-marked labels.
roboflow-dental-anomaly-6557,6557,https://universe.roboflow.com/search?q=class:abrasion+-+filling,Roboflow Universe,intraoral_photo,unknown_roboflow_public,unknown,2024,Roboflow dental anomaly project 6557 images includes non-carious classes; slug needs manual verification (WebFetch 403).
zenodo-14827784,6313,https://zenodo.org/records/14827784,Zenodo,intraoral_photo,CC BY-NC-ND 4.0,"Pakistan (Mithi, Sindh)",2025,"5 standard views, W/R and W/O-R subfolders. Primary flagship caries intraoral dataset. Mixed + permanent dentitions. Pilot 505 (no retractor) + main 5808 images. Benchmarked YOLOv5s/v8s/v11, SSD-MobileNetv2, Faster R-CNN (best mAP=0.84). Kappa=0.89."
roboflow-abdul-aziz-caries-tartar-missing-6160,6160,https://universe.roboflow.com/search?q=class%3Atartar,Roboflow Universe,intraoral_photo,CC BY 4.0,,2024,Slug not fully resolved (503). Tartar subset relevant for perio.
roboflow-bitcamp-dental-j1vge,5989,https://universe.roboflow.com/bitcamp/dental-j1vge,Roboflow Universe,intraoral_photo,CC BY 4.0,unknown,2024,modality_mixed:true pending direct verification
roboflow-intra-oral-scanner-vgggs-r4xwu,5758,https://universe.roboflow.com/intraoral-scanner-vgggs/intra-oral-scanner-r4xwu,Roboflow Universe,intraoral_photo,CC BY 4.0,unknown,2025,Modality inferred from project name; class list unverified (WebFetch 403). Low val acc suggests noisy labels.
segmentanytooth-ump-5000,5000,https://www.sciencedirect.com/science/article/pii/S1991790225000030,Journal of Dental Sciences GitHub release,intraoral_photo,open-source framework code plus weights,Vietnam,2025,Dental Public Health Faculty Odonto-Stomatology HCMC University of Medicine and Pharmacy; 953 subjects 32.8%M 67.2%F; 2017-2022; smartphone plus DSLR flash/no-flash; YOLO11 plus HQ-SAM active learning
github-omni-2025,4166,https://github.com/RoundFaceJ/OMNI,GitHub,intraoral_photo,not_specified,"China (Soochow University, Changzhou)",2025,"5 standard views incl. frontal/lateral/occlusal. Includes brackets, aligners, ortho appliances, malocclusion traits. Mean age 10.4 -> strong pediatric+ortho overlap. COCO bboxes."
